service_id,start_date,end_date,active_days_per_week,exception_count,service_stability_level,last_refresh
1154,2025-04-04,2025-12-13,0,105,Unstable,"2026-04-06 10:59:30"
1155,2025-04-04,2025-12-13,0,62,Unstable,"2026-04-06 10:59:30"
1156,2025-04-04,2025-12-13,0,2,Limited,"2026-04-06 10:59:30"
1157,2025-04-04,2025-12-13,0,6,Limited,"2026-04-06 10:59:30"
1158,2025-04-04,2025-12-13,0,109,Unstable,"2026-04-06 10:59:30"
1159,2025-04-04,2025-12-13,7,93,Unstable,"2026-04-06 10:59:30"
116,2025-04-04,2025-12-13,0,30,Unstable,"2026-04-06 10:59:30"
1160,2025-04-04,2025-12-13,0,6,Limited,"2026-04-06 10:59:30"
1161,2025-04-04,2025-12-13,0,4,Limited,"2026-04-06 10:59:30"
1162,2025-04-04,2025-12-13,7,101,Unstable,"2026-04-06 10:59:30"
1163,2025-04-04,2025-12-13,7,106,Unstable,"2026-04-06 10:59:30"
1164,2025-04-04,2025-12-13,7,100,Unstable,"2026-04-06 10:59:30"
1165,2025-04-04,2025-12-13,0,116,Unstable,"2026-04-06 10:59:30"
1166,2025-04-04,2025-12-13,7,96,Unstable,"2026-04-06 10:59:30"
1167,2025-04-04,2025-12-13,0,56,Unstable,"2026-04-06 10:59:30"
1168,2025-04-04,2025-12-13,0,59,Unstable,"2026-04-06 10:59:30"
1169,2025-04-04,2025-12-13,6,126,Unstable,"2026-04-06 10:59:30"
117,2025-04-04,2025-12-13,0,7,Unstable,"2026-04-06 10:59:30"
1170,2025-04-04,2025-12-13,0,7,Unstable,"2026-04-06 10:59:30"
1171,2025-04-04,2025-12-13,0,64,Unstable,"2026-04-06 10:59:30"
1172,2025-04-04,2025-12-13,0,49,Unstable,"2026-04-06 10:59:30"
1173,2025-04-04,2025-12-13,0,55,Unstable,"2026-04-06 10:59:30"
1174,2025-04-04,2025-12-13,0,37,Unstable,"2026-04-06 10:59:30"
1175,2025-04-04,2025-12-13,0,18,Unstable,"2026-04-06 10:59:30"
1176,2025-04-04,2025-12-13,0,55,Unstable,"2026-04-06 10:59:30"
1177,2025-04-04,2025-12-13,0,36,Unstable,"2026-04-06 10:59:30"
